fileName	anglePitch	forceMaxAdhesion	forceMaxShear	angle	preload
a00.0.data	0	-1.292	3.924	0	30
a01.0.data	0	-1.294	3.771	1	30
a02.0.data	0	-1.28	3.618	2	30
a03.0.data	0	-1.203	3.374	3	30
a04.0.data	0	-1.184	3.225	4	30
a05.0.data	0	-1.007	2.849	5	30
a06.0.data	0	-0.907	2.683	6	30
a07.0.data	0	-1.002	2.587	7	30
a08.0.data	0	-0.909	2.426	8	30
a09.0.data	0	-0.91	2.374	9	30
a10.0.data	0	-0.95	2.306	10	30
a20.0.data	0	-0.869	1.67	20	30
a30.0.data	0	-0.921	1.537	30	30
a40.0.data	0	-0.964	1.451	40	30
a50.0.data	0	-0.956	1.32	50	30
a60.0.data	0	-1.1	1.163	60	30
a70.0.data	0	-1.228	1.015	70	30
a80.0.data	0	-1.367	0.732	80	30
a00.0.data	0	-2.88	10.281	0	35
a01.0.data	0	-2.838	9.696	1	35
a02.0.data	0	-3.056	9.601	2	35
a03.0.data	0	-3.097	9.386	3	35
a04.0.data	0	-2.043	6.654	4	35
a05.0.data	0	-2.048	6.374	5	35
a06.0.data	0	-2.192	6.345	6	35
a07.0.data	0	-2.279	6.222	7	35
a08.0.data	0	-2.322	5.968	8	35
a09.0.data	0	-1.939	5.188	9	35
a10.0.data	0	-1.867	4.968	10	35
a20.0.data	0	-1.089	2.894	20	35
a30.0.data	0	-1.013	2.266	30	35
a40.0.data	0	-1.046	2.174	40	35
a50.0.data	0	-0.944	1.863	50	35
a60.0.data	0	-1.019	1.597	60	35
a70.0.data	0	-1.096	1.228	70	35
a80.0.data	0	-1.419	0.923	80	35
a90.0.data	0	-1.887	0.427	90	35
