June 02, 2009 18:09
529b02
H:\20090602-sws10-sls\LS_p30_d80_vp20_vd20.traj
lateral amplification = 100
normal amp = 100
pitch angle = 20
roll angle = 294
cantilever = 529b02
<data>
time	voltageForceLateral	voltageForceNormal	voltagePositionX	voltagePositionY
34.2969	2.410889E-2	1.678467E-2	1.190186E-2	9.460449E-3
34.3125	2.441406E-2	1.464844E-2	1.190186E-2	9.155273E-3
34.3281	2.319336E-2	1.129150E-2	1.159668E-2	8.850098E-3
34.3281	3.082275E-2	1.373291E-2	1.159668E-2	8.544922E-3
34.3437	2.258301E-2	1.403809E-2	1.159668E-2	8.544922E-3
34.3594	2.502441E-2	1.281738E-2	1.220703E-2	8.850098E-3
34.3906	2.960205E-2	8.544922E-3	1.159668E-2	8.239746E-3
34.4062	2.624512E-2	1.556396E-2	1.190186E-2	8.544922E-3
34.4219	1.922607E-2	1.922607E-2	1.159668E-2	8.544922E-3
34.4219	2.288818E-2	7.324219E-3	1.220703E-2	8.850098E-3
34.4375	2.502441E-2	1.770020E-2	1.190186E-2	8.850098E-3
34.4531	2.532959E-2	1.403809E-2	1.129150E-2	8.544922E-3
34.4531	2.716064E-2	1.251221E-2	1.190186E-2	8.544922E-3
34.4687	2.471924E-2	1.342773E-2	1.190186E-2	8.850098E-3
34.4687	2.807617E-2	9.155273E-3	1.220703E-2	9.460449E-3
34.4844	2.685547E-2	1.617432E-2	1.159668E-2	8.850098E-3
34.5	2.777100E-2	1.434326E-2	1.190186E-2	1.007080E-2
34.5	2.777100E-2	1.556396E-2	1.159668E-2	9.155273E-3
34.5156	2.136230E-2	2.197266E-2	1.129150E-2	8.850098E-3
34.5312	2.563477E-2	1.770020E-2	1.190186E-2	8.239746E-3
34.5312	2.349854E-2	1.220703E-2	1.159668E-2	8.239746E-3
34.5469	2.349854E-2	7.324219E-3	1.190186E-2	9.155273E-3
34.5625	2.502441E-2	1.861572E-2	1.159668E-2	9.155273E-3
34.5625	2.624512E-2	1.281738E-2	1.220703E-2	8.850098E-3
34.5781	2.441406E-2	1.831055E-2	1.190186E-2	9.155273E-3
34.5937	2.227783E-2	1.007080E-2	1.129150E-2	9.155273E-3
34.5937	2.868652E-2	1.037598E-2	1.159668E-2	9.155273E-3
34.6094	2.532959E-2	1.068115E-2	1.159668E-2	8.850098E-3
34.6094	2.105713E-2	2.136230E-2	1.251221E-2	8.850098E-3
34.625	2.136230E-2	1.556396E-2	1.190186E-2	8.850098E-3
34.6406	2.624512E-2	1.831055E-2	1.159668E-2	9.460449E-3
34.6406	3.204346E-2	1.312256E-2	1.190186E-2	8.850098E-3
34.6562	2.471924E-2	2.014160E-2	1.159668E-2	8.850098E-3
34.6562	2.593994E-2	1.007080E-2	1.159668E-2	7.934570E-3
34.6719	2.197266E-2	1.098633E-2	1.190186E-2	8.544922E-3
34.6875	2.777100E-2	2.014160E-2	1.190186E-2	8.850098E-3
34.6875	1.892090E-2	1.159668E-2	1.190186E-2	8.544922E-3
34.7031	2.105713E-2	1.007080E-2	1.190186E-2	9.765625E-3
34.7187	2.380371E-2	1.647949E-2	1.190186E-2	8.850098E-3
34.7187	2.532959E-2	2.075195E-2	1.190186E-2	8.850098E-3
34.7344	2.746582E-2	1.953125E-2	1.220703E-2	9.765625E-3
34.75	2.075195E-2	1.495361E-2	1.220703E-2	8.850098E-3
34.75	2.441406E-2	1.190186E-2	1.159668E-2	9.460449E-3
34.7656	2.929687E-2	7.324219E-3	1.190186E-2	8.850098E-3
34.7812	2.868652E-2	3.356934E-3	1.281738E-2	8.850098E-3
34.7812	3.143311E-2	1.220703E-2	1.190186E-2	8.544922E-3
34.7969	2.532959E-2	1.464844E-2	1.190186E-2	9.765625E-3
34.8125	2.532959E-2	1.586914E-2	1.159668E-2	8.544922E-3
34.8125	2.502441E-2	1.342773E-2	1.190186E-2	8.850098E-3
34.8281	2.166748E-2	1.129150E-2	1.190186E-2	8.850098E-3
34.8281	2.532959E-2	1.342773E-2	1.159668E-2	9.155273E-3
34.8437	2.227783E-2	1.708984E-2	1.190186E-2	8.544922E-3
34.8594	2.716064E-2	1.281738E-2	1.159668E-2	8.544922E-3
34.8594	3.051758E-2	7.324219E-3	1.159668E-2	8.850098E-3
34.875	1.953125E-2	1.556396E-2	1.159668E-2	9.155273E-3
34.8906	2.777100E-2	1.007080E-2	1.220703E-2	8.544922E-3
34.8906	2.777100E-2	1.708984E-2	1.129150E-2	9.460449E-3
34.9062	2.593994E-2	1.190186E-2	1.190186E-2	9.460449E-3
34.9219	2.746582E-2	1.464844E-2	1.190186E-2	8.544922E-3
34.9219	2.929687E-2	1.342773E-2	1.190186E-2	9.155273E-3
34.9375	2.471924E-2	1.525879E-2	1.190186E-2	8.544922E-3
34.9531	2.014160E-2	1.892090E-2	1.220703E-2	9.155273E-3
34.9531	2.716064E-2	4.272461E-3	1.220703E-2	8.850098E-3
34.9687	1.770020E-2	1.342773E-2	1.129150E-2	8.544922E-3
34.9687	2.471924E-2	9.765625E-3	1.251221E-2	9.155273E-3
34.9844	2.380371E-2	1.708984E-2	1.159668E-2	9.155273E-3
35.0	2.807617E-2	3.356934E-3	1.190186E-2	8.850098E-3
35.0	2.441406E-2	1.495361E-2	1.190186E-2	8.850098E-3
35.0156	2.563477E-2	1.617432E-2	1.159668E-2	8.850098E-3
35.0156	2.746582E-2	1.708984E-2	1.190186E-2	9.155273E-3
35.0312	2.380371E-2	6.408691E-3	1.190186E-2	9.765625E-3
35.0469	3.082275E-2	2.044678E-2	1.190186E-2	9.765625E-3
35.0469	2.838135E-2	1.800537E-2	1.129150E-2	9.155273E-3
35.0625	2.258301E-2	1.617432E-2	1.251221E-2	8.544922E-3
35.0781	2.716064E-2	1.342773E-2	1.220703E-2	8.544922E-3
35.0781	2.197266E-2	1.190186E-2	1.190186E-2	9.155273E-3
35.0937	2.532959E-2	1.922607E-2	1.220703E-2	8.850098E-3
35.1094	2.471924E-2	1.159668E-2	1.190186E-2	8.850098E-3
35.1094	2.288818E-2	1.556396E-2	1.220703E-2	9.460449E-3
35.125	2.105713E-2	1.281738E-2	1.159668E-2	8.850098E-3
35.1406	2.441406E-2	1.770020E-2	1.159668E-2	9.155273E-3
35.1406	2.471924E-2	1.068115E-2	1.129150E-2	8.544922E-3
35.1562	2.624512E-2	1.739502E-2	1.159668E-2	9.155273E-3
35.1719	1.953125E-2	1.586914E-2	1.190186E-2	8.544922E-3
35.1719	2.532959E-2	1.251221E-2	1.190186E-2	8.850098E-3
35.1875	2.136230E-2	9.155273E-3	1.220703E-2	9.155273E-3
35.2031	2.380371E-2	1.373291E-2	1.251221E-2	9.155273E-3
35.2031	2.777100E-2	1.403809E-2	1.129150E-2	9.155273E-3
35.2187	2.624512E-2	1.586914E-2	1.159668E-2	8.544922E-3
35.2187	2.838135E-2	1.525879E-2	1.190186E-2	8.850098E-3
35.2344	1.892090E-2	1.708984E-2	1.190186E-2	9.155273E-3
35.25	3.173828E-2	2.075195E-2	1.190186E-2	9.155273E-3
35.25	1.922607E-2	1.708984E-2	1.220703E-2	9.155273E-3
35.2656	2.288818E-2	1.739502E-2	1.190186E-2	9.155273E-3
35.2812	2.197266E-2	1.800537E-2	1.220703E-2	8.850098E-3
35.2812	3.082275E-2	1.556396E-2	1.983643E-2	9.155273E-3
35.2969	2.441406E-2	1.312256E-2	3.295898E-2	8.850098E-3
35.3125	2.136230E-2	1.159668E-2	5.279541E-2	8.544922E-3
35.3125	2.380371E-2	1.525879E-2	7.598877E-2	7.934570E-3
35.3281	2.197266E-2	1.342773E-2	9.307861E-2	8.850098E-3
35.3437	2.563477E-2	9.765625E-3	1.174927E-1	8.850098E-3
35.3437	2.319336E-2	1.220703E-3	1.403809E-1	8.239746E-3
35.3594	2.532959E-2	1.342773E-2	1.541138E-1	9.155273E-3
35.3594	2.075195E-2	1.129150E-2	1.773071E-1	9.155273E-3
35.375	2.807617E-2	1.831055E-3	1.977539E-1	9.155273E-3
35.3906	2.380371E-2	1.159668E-2	2.133179E-1	8.239746E-3
35.3906	2.471924E-2	6.103516E-4	2.380371E-1	9.155273E-3
35.4062	2.502441E-2	8.239746E-3	2.615356E-1	8.544922E-3
35.4062	2.502441E-2	1.434326E-2	2.731323E-1	8.850098E-3
35.4219	3.082275E-2	6.713867E-3	2.981567E-1	9.460449E-3
35.4375	2.349854E-2	1.281738E-2	3.201294E-1	8.850098E-3
35.4375	2.044678E-2	7.019043E-3	3.332520E-1	8.850098E-3
35.4531	1.861572E-2	5.493164E-3	3.549194E-1	8.850098E-3
35.4687	2.624512E-2	8.544922E-3	3.796387E-1	8.850098E-3
35.4687	3.082275E-2	5.493164E-3	3.924561E-1	8.544922E-3
35.4844	2.258301E-2	8.850098E-3	4.168701E-1	8.850098E-3
35.5	1.586914E-2	7.019043E-3	4.400635E-1	9.155273E-3
35.5	2.655029E-2	6.103516E-3	4.531860E-1	8.544922E-3
35.5156	2.227783E-2	4.882812E-3	4.748535E-1	9.765625E-3
35.5312	1.068115E-2	7.934570E-3	4.992676E-1	8.850098E-3
35.5312	2.227783E-2	9.460449E-3	5.120850E-1	9.155273E-3
35.5469	2.044678E-2	2.136230E-3	5.374146E-1	8.544922E-3
35.5625	2.288818E-2	-3.662109E-3	5.505371E-1	9.460449E-3
35.5625	2.136230E-2	8.544922E-3	5.694580E-1	8.544922E-3
35.5781	2.227783E-2	4.272461E-3	5.932617E-1	8.850098E-3
35.5781	2.380371E-2	3.051758E-3	6.164551E-1	8.544922E-3
35.5937	2.197266E-2	-3.356934E-3	6.317139E-1	8.850098E-3
35.6094	2.441406E-2	-6.103516E-4	6.555176E-1	8.850098E-3
35.6094	1.739502E-2	6.713867E-3	6.781006E-1	8.850098E-3
35.625	1.983643E-2	-4.882812E-3	6.909180E-1	8.850098E-3
35.6406	2.197266E-2	2.441406E-3	7.165527E-1	9.460449E-3
35.6406	1.617432E-2	-3.662109E-3	7.385254E-1	9.155273E-3
35.6562	2.014160E-2	-7.629395E-3	7.510376E-1	8.850098E-3
35.6719	1.678467E-2	-6.103516E-4	7.745361E-1	8.544922E-3
35.6719	2.441406E-2	-1.098633E-2	7.971191E-1	8.544922E-3
35.6875	1.983643E-2	-5.493164E-3	8.114624E-1	9.155273E-3
35.7031	2.197266E-2	2.136230E-3	8.361816E-1	8.850098E-3
35.7031	1.647949E-2	-1.037598E-2	8.554077E-1	8.850098E-3
35.7187	2.075195E-2	-8.544922E-3	8.709717E-1	8.544922E-3
